account_id,industry,plan_tier,start_date,end_date,mrr_amount,feedback_text,churn_flag,tenure_months,ticket_count,avg_usage,signup_month
A-2e4581,EdTech,Basic,2024-11-13,,1938,,0,18.0,2,11.0,2024-11
A-2e4581,EdTech,Basic,2024-11-13,,1938,switched to competitor,0,18.0,2,11.0,2024-11
A-2e4581,EdTech,Enterprise,2024-11-29,,1791,,0,17.5,2,10.3,2024-11
A-2e4581,EdTech,Enterprise,2024-11-29,,1791,switched to competitor,0,17.5,2,10.3,2024-11
A-2e4581,EdTech,Basic,2024-12-22,,836,,0,16.8,2,10.3,2024-12
A-2e4581,EdTech,Basic,2024-12-22,,836,switched to competitor,0,16.8,2,10.3,2024-12
A-2e4581,EdTech,Pro,2024-10-20,,441,,0,18.8,2,11.0,2024-10
A-2e4581,EdTech,Pro,2024-10-20,,441,switched to competitor,0,18.8,2,11.0,2024-10
A-2e4581,EdTech,Pro,2024-11-12,,980,,0,18.1,2,9.2,2024-11
A-2e4581,EdTech,Pro,2024-11-12,,980,switched to competitor,0,18.1,2,9.2,2024-11
A-2e4581,EdTech,Pro,2024-10-25,,637,,0,18.7,2,8.6,2024-10
A-2e4581,EdTech,Pro,2024-10-25,,637,switched to competitor,0,18.7,2,8.6,2024-10
A-2e4581,EdTech,Pro,2024-11-17,,0,,0,17.9,2,9.8,2024-11
A-2e4581,EdTech,Pro,2024-11-17,,0,switched to competitor,0,17.9,2,9.8,2024-11
A-2e4581,EdTech,Enterprise,2024-12-19,,5771,,0,16.9,2,9.0,2024-12
A-2e4581,EdTech,Enterprise,2024-12-19,,5771,switched to competitor,0,16.9,2,9.0,2024-12
A-2e4581,EdTech,Pro,2024-10-30,,0,,0,18.5,2,9.7,2024-10
A-2e4581,EdTech,Pro,2024-10-30,,0,switched to competitor,0,18.5,2,9.7,2024-10
A-2e4581,EdTech,Basic,2024-12-09,,209,,0,17.2,2,8.4,2024-12
A-2e4581,EdTech,Basic,2024-12-09,,209,switched to competitor,0,17.2,2,8.4,2024-12
A-43a9e3,FinTech,Basic,2023-09-20,,418,,0,31.8,3,13.5,2023-09
A-43a9e3,FinTech,Pro,2024-02-22,,882,,0,26.7,3,7.5,2024-02
A-43a9e3,FinTech,Basic,2024-03-09,,513,,0,26.2,3,8.6,2024-03
A-43a9e3,FinTech,Basic,2024-03-26,,513,,0,25.7,3,12.3,2024-03
A-43a9e3,FinTech,Basic,2023-11-29,,342,,0,29.5,3,7.0,2023-11
A-43a9e3,FinTech,Enterprise,2023-11-06,,5572,,0,30.3,3,11.8,2023-11
A-43a9e3,FinTech,Pro,2024-02-07,,882,,0,27.2,3,15.0,2024-02
A-43a9e3,FinTech,Pro,2024-07-08,,882,,0,22.2,3,13.3,2024-07
A-0a282f,DevTools,Basic,2024-10-27,,228,switched to competitor,0,18.6,3,9.3,2024-10
A-0a282f,DevTools,Basic,2024-10-27,,228,too expensive,0,18.6,3,9.3,2024-10
A-0a282f,DevTools,Basic,2024-12-20,,1140,switched to competitor,0,16.8,3,8.0,2024-12
A-0a282f,DevTools,Basic,2024-12-20,,1140,too expensive,0,16.8,3,8.0,2024-12
A-0a282f,DevTools,Enterprise,2024-10-10,,5771,switched to competitor,0,19.2,3,10.3,2024-10
A-0a282f,DevTools,Enterprise,2024-10-10,,5771,too expensive,0,19.2,3,10.3,2024-10
A-0a282f,DevTools,Pro,2024-10-08,,196,switched to competitor,0,19.2,3,8.8,2024-10
A-0a282f,DevTools,Pro,2024-10-08,,196,too expensive,0,19.2,3,8.8,2024-10
A-0a282f,DevTools,Pro,2024-11-10,,49,switched to competitor,0,18.1,3,11.0,2024-11
A-0a282f,DevTools,Pro,2024-11-10,,49,too expensive,0,18.1,3,11.0,2024-11
A-0a282f,DevTools,Pro,2024-12-20,,2695,switched to competitor,0,16.8,3,12.0,2024-12
A-0a282f,DevTools,Pro,2024-12-20,,2695,too expensive,0,16.8,3,12.0,2024-12
A-0a282f,DevTools,Enterprise,2024-09-28,2024-12-16,1194,switched to competitor,1,2.6,3,9.4,2024-09
A-0a282f,DevTools,Enterprise,2024-09-28,2024-12-16,1194,too expensive,1,2.6,3,9.4,2024-09
A-0a282f,DevTools,Pro,2024-12-27,,98,switched to competitor,0,16.6,3,11.0,2024-12
A-0a282f,DevTools,Pro,2024-12-27,,98,too expensive,0,16.6,3,11.0,2024-12
A-0a282f,DevTools,Enterprise,2024-08-31,2024-09-25,3781,switched to competitor,1,0.8,3,9.8,2024-08
A-0a282f,DevTools,Enterprise,2024-08-31,2024-09-25,3781,too expensive,1,0.8,3,9.8,2024-08
A-0a282f,DevTools,Pro,2024-10-07,,980,switched to competitor,0,19.3,3,10.3,2024-10
A-0a282f,DevTools,Pro,2024-10-07,,980,too expensive,0,19.3,3,10.3,2024-10
A-0a282f,DevTools,Pro,2024-12-25,2024-12-28,0,switched to competitor,1,0.1,3,10.0,2024-12
A-0a282f,DevTools,Pro,2024-12-25,2024-12-28,0,too expensive,1,0.1,3,10.0,2024-12
A-0a282f,DevTools,Basic,2024-10-16,,114,switched to competitor,0,19.0,3,11.3,2024-10
A-0a282f,DevTools,Basic,2024-10-16,,114,too expensive,0,19.0,3,11.3,2024-10
A-0a282f,DevTools,Basic,2024-10-06,,760,switched to competitor,0,19.3,3,10.2,2024-10
A-0a282f,DevTools,Basic,2024-10-06,,760,too expensive,0,19.3,3,10.2,2024-10
A-0a282f,DevTools,Pro,2024-10-23,,882,switched to competitor,0,18.7,3,10.0,2024-10
A-0a282f,DevTools,Pro,2024-10-23,,882,too expensive,0,18.7,3,10.0,2024-10
A-0a282f,DevTools,Enterprise,2024-10-11,,398,switched to competitor,0,19.1,3,9.2,2024-10
